File_Error,Corrected
Idlisam,Idlisa
RAVAO,Rava
Josha,Josh
anatfoK,anatfoK
Joshyam,Joshya
Upmaam,Upma
dal,Dal
RAGIGA,Ragiga
amiagednaB,amiagednaB
aliraseK,aliraseK
muddala,Muddala
Kesarisan,Kesarisa
Koftay,Koftaya
Ragil,Ragila
RAGIU,Ragi
DOsAsa,Dosasa
omasaR,Upmasa
Masalalam,Masalala
BIRYANIO,Biryani
orabmaS,orabmaS
KACHORIU,Kachori
GulAblA,Gulabla
dal,Dal
iirooP,iirooP
anampU,Rasamu
oamoi,Momo
CURdJI,Curdji
uatfoK,uatfoK
BhAJiya,Bhajiya
dosai,Dosa
PAVLA,Pavla
LASSIU,Lassi
puliyogarela,Puliyogarela
Momonam,Momona
sambara,Sambara
Halw,Halwa
JOSHJI,Joshji
edruC,edruC
Sabzia,Sabzi
atiaR,Ragi
Kichd,Kichd
DALKA,Dalka
kaChORIjI,Kachoriji
Koftay,Koftaya
RaVAE,Rava
Halwan,Halwana
bisibelega,Bisibelega
Paiaahoaa,Pavo
Dosamaa,Dosama
oihtapahC,oihtapahC
Pavy,Pavya
ijasoD,ijasoD
Kaahorioa,Kachori
Cholek,Chole
Panee,Pavi
Rasoaii,Ramo
Tamarindm,Tamarindma
BHAturera,Bhaturera
iemise,iemise
Jalebi,Jalebi
cHutNEYYa,Chutneya
Cur,Curd
Bieiaeiuo,Bieiaeiuo
oaraohaii,Josha
BHAJIYA,Bhajiya
purila,Purila
easayaP,Dosaya
Puriy,Puriya
aaaji,Rami
kesaria,Kesari
Kichdin,Kichdi
DALKa,Dalka
Ravaj,Ravaji
Joshman,Joshma
anbaluG,anbaluG
oaetaiuyeaji,Koftaji
ROTIYA,Rotiya
Ragilan,Ragila
poORInA,Purina
Ragi,Ragi
PEsAraTTujI,Pesarattuji
Roganon,Rogano
ayalkohD,ayalkohD
RASAMYA,Rasamya
bhajio,Bhaji
rOtiU,Roti
pakodau,Pakoda
PANEerO,PANEerO
ayijahB,ayijahB
theplama,Theplama
Tamarind,Tamarind
ramna,Ramna
UPMAKA,Upmaka
bhaturei,Bhature
bisibelei,Bisibele
Payasaia,Payasa
ouuo,ouuo
Ragisan,Ragisa
uoiaiui,uoiaiui
LASSINA,Lassina
ayibelaJ,ayibelaJ
Pakoday,Pakodaya
amasomaS,amasomaS
Ramim,Rami
Jaleeiao,Dali
aradduM,aradduM
dalsa,Dalsa
Laueori,Pavi
hsoJ,hsoJ
iigaR,iigaR
